idind,year,type,wage,nls,logwage,lognls
11486,1998,2,2100,10000,7.649692623711514,9.210340371976184
14444,1998,2,1500,2000,7.313220387090301,7.600902459542082
14445,1998,2,230,1000,5.438079308923196,6.907755278982137
656,1998,2,700,3000,6.551080335043404,8.006367567650246
663,1998,2,800,5000,6.684611727667927,8.517193191416238
667,1998,2,300,4000,5.703782474656201,8.294049640102028
651,1998,2,650,4000,6.476972362889683,8.294049640102028
11501,1998,2,423,3000,6.0473721790462776,8.006367567650246
674,1998,2,188,2000,5.236441962829949,7.600902459542082
675,1998,2,100,3000,4.605170185988092,8.006367567650246
681,1998,2,300,3000,5.703782474656201,8.006367567650246
685,1998,2,100,2000,4.605170185988092,7.600902459542082
686,1998,2,550,4500,6.309918278226516,8.411832675758411
690,1998,2,1200,5000,7.090076835776092,8.517193191416238
695,1998,2,1600,6000,7.3777589082278725,8.699514748210191
698,1998,2,280,3000,5.634789603169249,8.006367567650246
703,1998,2,350,5000,5.857933154483459,8.517193191416238
11508,1998,2,1650,4000,7.408530566894626,8.294049640102028
11509,1998,2,1750,4000,7.4673710669175595,8.294049640102028
714,1998,2,1300,4000,7.170119543449628,8.294049640102028
716,1998,2,260,2000,5.560681631015528,7.600902459542082
722,1998,4,200,1500,5.298317366548036,7.313220387090301
723,1998,4,400,1000,5.991464547107982,6.907755278982137
737,1998,4,50,1600,3.912023005428146,7.3777589082278725
738,1998,4,100,3000,4.605170185988092,8.006367567650246
742,1998,4,245,3000,5.501258210544727,8.006367567650246
743,1998,4,135,4000,4.90527477843843,8.294049640102028
753,1998,2,1500,10000,7.313220387090301,9.210340371976184
754,1998,2,2000,10000,7.600902459542082,9.210340371976184
755,1998,2,93,4000,4.532599493153256,8.294049640102028
757,1998,2,750,5000,6.620073206530356,8.517193191416238
763,1998,2,1400,6000,7.24422751560335,8.699514748210191
764,1998,2,154,10000,5.0369526024136295,9.210340371976184
768,1998,2,199,5000,5.293304824724492,8.517193191416238
14451,1998,2,1100,4000,7.003065458786462,8.294049640102028
14453,1998,2,1000,10000,6.907755278982137,9.210340371976184
11517,1998,2,4100,5000,8.318742252692399,8.517193191416238
760,1998,2,1300,3000,7.170119543449628,8.006367567650246
758,1998,2,1340,5000,7.200424892944957,8.517193191416238
766,1998,2,860,4000,6.756932389247553,8.294049640102028
776,1998,2,663,4500,6.4967749901858625,8.411832675758411
781,1998,2,1700,5000,7.438383530044307,8.517193191416238
782,1998,2,600,6000,6.396929655216146,8.699514748210191
788,1998,2,300,10000,5.703782474656201,9.210340371976184
798,1998,2,700,5000,6.551080335043404,8.517193191416238
799,1998,2,200,5000,5.298317366548036,8.517193191416238
801,1998,2,593,10000,6.385194398997726,9.210340371976184
11529,1998,2,600,4000,6.396929655216146,8.294049640102028
805,1998,2,359,4000,5.883322388488279,8.294049640102028
810,1998,2,300,10000,5.703782474656201,9.210340371976184
14460,1998,2,600,5000,6.396929655216146,8.517193191416238
813,1998,2,500,5000,6.214608098422191,8.517193191416238
814,1998,2,850,5000,6.745236349484363,8.517193191416238
815,1998,2,150,1000,5.0106352940962555,6.907755278982137
817,1998,2,1311,3000,7.1785454837637,8.006367567650246
11531,1998,2,1000,3000,6.907755278982137,8.006367567650246
804,1998,2,650,6000,6.476972362889683,8.699514748210191
14461,1998,2,1000,6000,6.907755278982137,8.699514748210191
821,1998,2,1000,5000,6.907755278982137,8.517193191416238
822,1998,2,350,5000,5.857933154483459,8.517193191416238
828,1998,2,750,10000,6.620073206530356,9.210340371976184
829,1998,2,800,6000,6.684611727667927,8.699514748210191
14462,1998,2,230,5000,5.438079308923196,8.517193191416238
833,1998,2,950,3000,6.856461984594587,8.006367567650246
843,1998,2,1600,10000,7.3777589082278725,9.210340371976184
847,1998,2,1000,7000,6.907755278982137,8.85366542803745
848,1998,2,900,5000,6.802394763324311,8.517193191416238
835,1998,2,1300,3000,7.170119543449628,8.006367567650246
14464,1998,2,1130,3000,7.029972911706386,8.006367567650246
11536,1998,2,1200,4000,7.090076835776092,8.294049640102028
14466,1998,2,700,3000,6.551080335043404,8.006367567650246
11542,1998,2,2000,10000,7.600902459542082,9.210340371976184
14467,1998,2,67,5000,4.204692619390966,8.517193191416238
14474,1998,2,500,3000,6.214608098422191,8.006367567650246
876,1998,2,700,2000,6.551080335043404,7.600902459542082
11556,1998,2,1500,3000,7.313220387090301,8.006367567650246
14476,1998,2,1150,3000,7.047517221357296,8.006367567650246
14477,1998,2,1000,6000,6.907755278982137,8.699514748210191
888,1998,2,539,3000,6.289715570908998,8.006367567650246
889,1998,2,1200,5000,7.090076835776092,8.517193191416238
11551,1998,2,1700,2000,7.438383530044307,7.600902459542082
11554,1998,2,1100,3000,7.003065458786462,8.006367567650246
898,1998,2,1400,10000,7.24422751560335,9.210340371976184
899,1998,2,600,10000,6.396929655216146,9.210340371976184
901,1998,2,1100,100000,7.003065458786462,11.512925464970229
11562,1998,2,240,6000,5.480638923341991,8.699514748210191
11564,1998,2,110,5000,4.700480365792417,8.517193191416238
903,1998,2,300,2000,5.703782474656201,7.600902459542082
912,1998,2,35,10000,3.5553480614894135,9.210340371976184
14484,1998,2,1000,5500,6.907755278982137,8.612503371220562
14485,1998,2,750,5000,6.620073206530356,8.517193191416238
920,1998,2,576,7000,6.3561076606958915,8.85366542803745
921,1998,2,520,3000,6.253828811575473,8.006367567650246
925,1998,2,1500,3000,7.313220387090301,8.006367567650246
926,1998,2,100,5000,4.605170185988092,8.517193191416238
11566,1998,2,200,1000,5.298317366548036,6.907755278982137
14489,1998,2,900,10000,6.802394763324311,9.210340371976184
945,1998,2,1150,15000,7.047517221357296,9.615805480084347
947,1998,2,586,3000,6.373319789577012,8.006367567650246
950,1998,2,160,1000,5.075173815233827,6.907755278982137
11576,1998,2,2500,5000,7.824046010856292,8.517193191416238
11578,1998,2,2000,5000,7.600902459542082,8.517193191416238
951,1998,2,830,10000,6.721425700790643,9.210340371976184
952,1998,2,900,5000,6.802394763324311,8.517193191416238
953,1998,2,330,3000,5.799092654460526,8.006367567650246
956,1998,2,150,2000,5.0106352940962555,7.600902459542082
962,1998,2,1300,6000,7.170119543449628,8.699514748210191
963,1998,2,1300,6000,7.170119543449628,8.699514748210191
967,1998,2,466,3000,6.144185634125646,8.006367567650246
968,1998,2,344,5000,5.840641657373398,8.517193191416238
969,1998,4,530,3000,6.272877006546167,8.006367567650246
978,1998,4,400,15000,5.991464547107982,9.615805480084347
991,1998,4,450,3000,6.1092475827643655,8.006367567650246
1003,1998,4,900,1500,6.802394763324311,7.313220387090301
14492,1998,4,300,5000,5.703782474656201,8.517193191416238
1063,1998,4,50,5500,3.912023005428146,8.612503371220562
1072,1998,4,25,1000,3.2188758248682006,6.907755278982137
11588,1998,4,200,15000,5.298317366548036,9.615805480084347
1081,1998,4,20,1000,2.995732273553991,6.907755278982137
1082,1998,4,20,600,2.995732273553991,6.396929655216146
1083,1998,4,140,800,4.941642422609304,6.684611727667927
1090,1998,4,30,3000,3.4011973816621555,8.006367567650246
1094,1998,4,400,2000,5.991464547107982,7.600902459542082
11589,1998,4,20,3000,2.995732273553991,8.006367567650246
11590,1998,4,180,3000,5.19295685089021,8.006367567650246
1103,1998,4,166,1000,5.111987788356544,6.907755278982137
1106,1998,4,100,2000,4.605170185988092,7.600902459542082
1107,1998,4,200,2000,5.298317366548036,7.600902459542082
1112,1998,4,200,1000,5.298317366548036,6.907755278982137
1114,1998,4,200,1500,5.298317366548036,7.313220387090301
1116,1998,4,100,2000,4.605170185988092,7.600902459542082
1136,1998,4,350,1500,5.857933154483459,7.313220387090301
1137,1998,4,300,3000,5.703782474656201,8.006367567650246
1140,1998,4,190,2000,5.247024072160486,7.600902459542082
1142,1998,4,330,3000,5.799092654460526,8.006367567650246
14501,1998,4,340,2000,5.8289456176102075,7.600902459542082
1143,1998,4,352,5000,5.863631175598097,8.517193191416238
1144,1998,4,410,3000,6.016157159698354,8.006367567650246
1146,1998,4,500,1500,6.214608098422191,7.313220387090301
1155,1998,4,61,2000,4.110873864173311,7.600902459542082
1156,1998,4,389,2000,5.963579343618446,7.600902459542082
1164,1998,4,100,3000,4.605170185988092,8.006367567650246
1167,1998,4,86,3000,4.454347296253507,8.006367567650246
1174,1998,4,400,3000,5.991464547107982,8.006367567650246
1181,1998,4,300,5000,5.703782474656201,8.517193191416238
1198,1998,4,400,2000,5.991464547107982,7.600902459542082
14504,1998,4,170,10000,5.135798437050262,9.210340371976184
14505,1998,4,1180,15000,7.07326971745971,9.615805480084347
1224,1998,2,630,2000,6.4457198193855785,7.600902459542082
1235,1998,2,330,3000,5.799092654460526,8.006367567650246
1236,1998,2,670,2000,6.507277712385012,7.600902459542082
1241,1998,2,220,5000,5.393627546352362,8.517193191416238
1245,1998,2,106,1500,4.663439094112067,7.313220387090301
1256,1998,2,120,800,4.787491742782046,6.684611727667927
1264,1998,2,160,1000,5.075173815233827,6.907755278982137
1268,1998,2,1000,3000,6.907755278982137,8.006367567650246
11626,1998,2,200,2000,5.298317366548036,7.600902459542082
1288,1998,2,500,6000,6.214608098422191,8.699514748210191
14516,1998,2,144,1500,4.969813299576001,7.313220387090301
1295,1998,2,400,3000,5.991464547107982,8.006367567650246
1298,1998,2,900,2000,6.802394763324311,7.600902459542082
1300,1998,2,200,3000,5.298317366548036,8.006367567650246
11634,1998,2,165,500,5.10594547390058,6.214608098422191
