"","WAG_M","WAG_M_SA","WAG_C_M"
"229",210.4,225.4,23746
"230",212.1,226.9,24036
"231",224.2,227.8,25487
"232",226.2,228.6,25800
"233",230.5,229.2,26385
"234",238.1,229.5,27494
"235",228.6,229.4,26684
"236",220.1,229.4,25718
"237",221.2,230.4,25996
"238",227,232.3,26803
"239",231.7,234.6,27448
"240",306.1,236.4,36450
"241",222.6,237.8,26840
"242",220.3,239.3,26620
"243",236.9,240.8,28693
"244",246.8,242.2,30026
"245",242.9,243.4,29723
"246",252.3,244.3,30986
"247",244.3,244.9,30229
"248",236.4,245.3,29226
"249",236.9,246,29346
"250",241.4,247.3,30069
"251",243.3,249.1,30290
"252",316.8,250.8,39648
"253",235.4,252,29535
"254",231.6,252.3,29255
"255",247.6,251.9,31486
"256",257,251.2,32947
"257",249.6,250.4,32272
"258",259.8,249.9,33726
"259",249.2,249.7,32515
"260",235.2,250.3,30763
"261",242.5,250.8,31929
"262",244.7,250.1,32439
"263",242.2,247.4,32546
"264",306.4,243,42136
"265",218.5,238.2,30929
"266",216.9,234.4,31325
"267",224.3,232.3,32642
"268",235.3,231.7,34377
"269",234.8,231.5,34380
"270",241.4,231,35395
"271",229.4,230.3,33901
"272",217.2,229.4,32176
"273",220.9,228.6,32911
"274",222.2,228.1,33357
"275",220.7,228,33347
"276",285.1,228.5,43408
"277",211.8,229.2,32660
"278",218.6,230,33873
"279",228,230.8,35501
"280",233.2,231.1,36497
"281",237.2,231.2,37270
"282",243.6,231.6,38447
"283",226.1,232,35888
"284",222.7,232.3,35405
"285",224.9,232.6,35843
"286",223.6,233.1,35749
"287",225.6,234,36195
"288",295.3,235.4,47554
"289",219.7,237.4,34422
"290",225.6,239.5,35497
"291",240.5,241.6,37899
"292",248.4,243.6,39225
"293",250.4,245.1,39679
"294",260.2,246.2,41454
"295",239.6,247.3,38073
"296",235.1,248.9,37099
"297",241.7,250.9,38047
"298",243.1,253.4,38333
"299",245.8,256.5,38848
"300",322.5,259.8,51197
"301",246.1,262.8,39017
"302",252.2,264.7,40443
"303",264.1,265.6,42364
"304",270.4,266.1,43381
"305",272.8,266.8,44076
"306",282.7,267.7,45848
"307",260.6,268.3,42413
"308",254.1,268.9,41364
"309",256.4,269.4,41774
"310",259.2,269.8,42332
"311",259.2,269.3,42595
"312",335.1,268.3,55569
"313",250.7,267.6,42263
"314",253.4,268.2,43062
"315",271.7,270.1,46324
"316",280.4,272.4,48030
"317",278.7,274.1,47926
"318",286.8,275.1,49348
"319",269.3,275.7,46509
"320",260.4,276.3,44961
"321",263.8,277.4,45541
"322",269.1,279,46549
"323",266.6,280.8,46285
"324",357.3,282.3,62239
"325",266.2,282.7,46674
"326",267.5,281.9,47257
"327",286.5,280.2,50948
"328",274.2,278.7,49306
"329",280.8,278,50747
"330",287.5,278.4,52123
"331",275.2,279.4,50145
"332",261.7,280.4,47649
"333",270.6,280.8,49259
"334",270,280.6,49539
"335",266,280.2,49274
"336",371,280.4,69278
"337",263.8,281.2,49516
"338",268.3,282.2,51229
"339",287.3,282.5,55208
